Feature,Importance
Emb_1,0.19983278
Emb_7,0.1777486
Emb_6,0.06297236
Emb_4,0.057927504
Emb_0,0.056603108
Emb_2,0.042726427
Emb_3,0.01622368
Emb_5,0.0066856756
